#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Let It Flow - The Jazz Mix","Naoki Kenji",110,6A,53,2026-04-28,05:04,41,"lounge","Versatile",2006-05-30,71,9,76,67,0,0,-14,G Minor,4,4cDdIUh9P5CY0ecMXx8PS1,DEH740602179
2,"Relax - Vargo Vocal Remix","Blank & Jones,VARGO",170,6B,75,2026-04-28,06:10,36,"trance, lounge","Relax Edition 1",2003-04-07,24,16,92,44,0,10,-8,A#/B♭ Major,4,35o4nN5z3kN4YFPUXcy2wG,DEGE91100198
3,"Won't Give Up - Cafe Del Mar Mix","Roberto Sol,Florito,Martine",101,8A,66,2026-04-28,04:14,46,"lounge, ","Electrified Emotions",2013-10-11,66,3,7,29,0,0,-8,A Minor,4,4Ezv6yXGFFQ6KsFIR4Zw2Y,DEMQ11300304
4,"Waltz No. 19 in A minor, Op. posth.","Frédéric Chopin,Peter Jablonski",69,8A,3,2026-04-28,02:12,64,"piano clásico, clásica","Chopin: Waltzes, etc.",1995-01-01,31,98,93,15,0,0,-37,A Minor,4,71MpmxCJ1TW05c7Fvv1SfI,GBF079540817
5,"El Baile del Sapito - Infantil","Cartoon Studio,Canción infantil",144,9B,79,2026-04-28,02:55,61,"canción de cuna, música infantil","El Baile del Sapito",2017-05-04,93,28,0,99,0,20,-4,G Major,4,5FUPss7Xsr9hnxuIUe9b01,QM6MZ1719869
6,"Deviation - Octavio Gimenez Remix","YOUNA,Octavio Gimenez",126,9B,87,2026-04-28,05:54,20,"techno melódico, house melódico, house progresivo","Escape The Reality",2024-02-16,57,0,87,31,0,10,-10,G Major,4,15n2iAUwcXqiYiGFRCPbiW,GBKQU2410228
7,"Si No Estas Conmigo","Cynthia y José Luis",170,11B,81,2026-04-28,03:16,55,"","Amor En Custodia",2005-01-01,42,35,0,41,0,10,-4,A Major,4,0wrsKr5aAgSbyfNihaZbQ6,MXUM70600260
8,"La Hora de Comer","Lety Balsa",141,5B,58,2026-04-28,00:56,27,"","Pegando Nuevas Canciones del Jardín",2009-01-19,82,50,0,51,10,0,-7,D#/E♭ Major,4,5ciuOVncHpsnqngsh7G3N5,QM7281560291
9,"DDU-DU DDU-DU","BLACKPINK",140,9A,83,2026-04-28,03:31,74,"k-pop","SQUARE UP",2018-06-15,67,4,0,39,0,0,-5,E Minor,4,4lQsB3ERTWSNaAN1IkuNRl,KRA401800096
10,"Cinco Patitos","Super Simple Español",116,11A,27,2026-04-28,02:32,47,"canción de cuna, música infantil","Bebé Tiburón y Más Canciones Infantiles",2018-10-31,94,28,0,63,0,0,-10,F#/G♭ Minor,4,0FXmi2206v1P6c8myqefBi,TCADY1806474
11,"El Tren de Plim Plim","El Payaso Plim Plim",100,11B,62,2026-04-28,02:29,49,"canción de cuna, música infantil","Las Canciones de Plim Plim Vol. 2",2018-11-19,80,24,0,76,0,30,-5,A Major,4,1rPf6tTZLaVdjoBJkwnt3e,USL4Q1852087
12,"Moonlight","Rameses B",140,8B,84,2026-04-28,05:43,36,"chillstep, liquid funk, drum and bass, drumstep","Inspire - EP",2012-05-23,55,6,27,24,0,10,-6,C Major,4,5ZBemWNJFt6Ne1ay2vjVJD,ushm21296927
13,"Los Planetas","TV Para Niños",120,10B,28,2026-04-28,03:04,40,"canción de cuna","TV Para Niños",2020-08-20,91,66,0,93,0,20,-13,D Major,4,0RcRscpgOvs8SrTGRBDOex,QZK6M2081212
14,"El Juego de los Nombres","Burbujas",161,3A,88,2026-04-28,03:21,30,"canción de cuna, música infantil","Grandes Éxitos",2016-07-15,68,36,0,49,20,0,-8,A#/B♭ Minor,4,2iIyAtoxMS0InnrvdB6VPW,MXF601600326
15,"La Mané","Luli Pampín",132,6B,89,2026-04-28,02:55,47,"canción de cuna, música infantil, villancicos","Canciones y Juegos Con Luli Pampín",2019-04-19,84,45,0,98,0,0,-3,A#/B♭ Major,4,1JfOCWt5vxijncYkSp7w5f,ITZV21900070
16,"Cochinitos Dormilones - Remasterizado 1995","Cri-Cri",92,9B,37,2026-04-28,03:24,53,"canción de cuna, música infantil","Las 100 Clásicas de Cri Cri Vol. 1",2001-03-30,38,94,0,56,0,10,-8,G Major,4,5jy4BFZMsN58GxG1dSHDd2,MXF010000697
17,"Chu Chu Ua Chu Chu Ua","El Reino Infantil,Bichikids en Español",130,8B,77,2026-04-28,03:26,59,"canción de cuna, música infantil","El Reino Infantil Vol. 1",2015-02-24,92,25,0,92,10,0,-7,C Major,4,1sxU99FLh8hBYbmvKkQLKF,ARF061401657
18,"Te quiero","Barney Español",50,7A,32,2026-04-28,00:57,47,"canción de cuna, música infantil","Juguemos a cantar con Barney",2005-01-01,56,52,0,28,0,40,-14,D Minor,4,4mPP0bb1je8NWfZhvtKjCe,USA371696766
19,"Soy grande","Volar para Contar",105,10B,19,2026-04-28,01:44,63,"canción de cuna","Soy Grande, Fuerte, Inteligente",2024-06-25,84,91,0,68,0,0,-9,D Major,4,5Q9kRAXdoJMRMBigdkSGlD,QZWDE2400605
20,"Checkpoint","Igor Pumphonia",113,5A,58,2026-04-28,03:46,1,"","Checkpoint",2025-03-13,80,26,83,37,0,20,-8,C Minor,4,50L7h5L4FXX6TS8iPWpnUW,UKEX32509274
21,"Umacapiruá","Pim Pau",100,10B,77,2026-04-28,02:23,51,"canción de cuna, música infantil","Recreo",2016-00-00,81,33,0,63,10,0,-8,D Major,4,1NQx4LsPOBvjnHWjPcgadR,AR6VY1600003
22,"Jane Maryam","Evgeny Grinko",97,5A,10,2026-04-28,01:30,1,"","Outtakes",2018-12-09,39,98,92,14,0,10,-19,C Minor,3,46xC5pDq9vxl4JcHkb1QkX,FRX201839322
23,"Love Story","Francis Lai,Lola & Hauser",82,7A,24,2026-04-28,04:11,48,"","Love Story",2018-05-30,20,98,86,10,0,0,-14,D Minor,4,06n8oG19KaU6Vj3DR4TUM5,TCADR1802371
24,"Nisi Dominus, RV 608: IV. Cum dederit","Antonio Vivaldi,Ensemble Matheus,Jean-Christophe Spinosi,Philippe Jaroussky",80,6A,1,2026-04-28,05:10,48,"barroca, clásica, concerto, música antigua, ópera","Vivaldi: Nisi Dominus, Stabat Mater",2008-01-02,13,98,0,4,0,10,-30,G Minor,4,1okQeekaBL7DzFxS0j1s7l,FRX290701204
25,"Dance For Me Wallis","Abel Korzeniowski",86,6A,36,2026-04-28,03:08,44,"","Easy Listening: Peace & Relaxed",2022-11-14,40,89,91,16,0,10,-15,G Minor,4,42Si9nrQc7oQqJ0fNATOOQ,USUM71200032
26,"Quiero Pan","Xuxa",110,10B,62,2026-04-28,01:54,32,"canción de cuna, música infantil","Xuxa En Español",1990-03-31,69,59,0,90,0,40,-11,D Major,3,4cXys0FeVLMkxhPVG3XeYX,BRRGE9000158
27,"Da una Vuelta en Tu Lugar","Baila Baila",131,11B,35,2026-04-28,01:42,33,"","Baila Baila",2012-10-12,76,39,0,12,50,0,-10,A Major,4,6Rp9M8ozBbYgd37Pk34sGw,USQY51301720
28,"Intermezzo No. 1","Manuel Ponce,Héctor Rojas",76,9A,19,2026-04-28,02:43,14,"piano clásico, música mexicana, música de cámara","Manuel M. Ponce Obra Completa para Piano",1998-00-00,25,99,85,5,0,30,-23,E Minor,4,6tNcDXbjY7Id6cX8nXWmgn,MX2831700158
29,"Bye Bye Goodbye","Super Simple Songs",120,8B,37,2026-04-28,01:42,51,"música infantil, canción de cuna","Do You Like Broccoli Ice Cream? & More Kids Songs",2017-03-24,84,35,29,62,0,0,-10,C Major,4,0FbsYlb1ZMgTICWE3ILQGt,TCACZ1758715
30,"Adios, Adios","Super Simple Español",120,8B,29,2026-04-28,01:42,49,"canción de cuna, música infantil","¿Te Gusta el Helado de Brócoli? y Más Canciones Infantiles",2018-10-31,89,31,38,50,0,0,-10,C Major,4,5qqmu9E5MpQsDMQb3GktUu,TCADY1803330
31,"Cabeza, Hombro, Rodilla y Pie","El Payaso Plim Plim",181,6B,61,2026-04-28,01:25,63,"canción de cuna, música infantil","Las Canciones de Plim Plim Vol. 4",2021-08-20,59,23,0,96,0,30,-6,A#/B♭ Major,4,1V19RXI1yiRhvDAyjnnG6g,ARLIB2024028
32,"Muevo mis pañuelos","Miss Cuqui",160,12B,79,2026-04-28,03:07,1,"canción de cuna","Cantaré para ti",2016-01-01,46,49,0,80,10,10,-6,E Major,4,2YqJnybw6pITObuNRlz82M,GBSMU5062369
33,"Las palabras mágicas.","Cobu",137,10B,33,2026-04-28,02:30,28,"","Ciclo B",2019-06-06,91,50,0,96,10,0,-15,D Major,4,0NojbPMUggvvYj2mwaGHcW,QZFYX1958068
34,"La Familia Dedo de Emociones","El Payaso Plim Plim",110,9B,63,2026-04-28,01:59,33,"canción de cuna, música infantil","Las Canciones de Plim Plim Vol. 5",2022-02-04,84,1,0,57,0,0,-7,G Major,4,6IlAWMPGszxkaAg4S4M1yY,ARLIB2120014
35,"Gabriel's Oboe","Ennio Morricone",91,10B,23,2026-04-28,02:26,0,"banda sonora","Voci dal silenzio",2007-03-25,19,76,94,11,0,10,-16,D Major,4,5HaZXKLklCInlXKFn0AhtN,IT0680700294
36,"Por Favor y Gracias","El Payaso Plim Plim",112,8B,59,2026-04-28,01:24,52,"canción de cuna, música infantil","Las Canciones de Plim Plim Vol. 1",2018-10-31,96,56,0,98,0,10,-5,C Major,4,2z9eg72jePcx5euCC0p8is,ARLIB1100004
37,"Abejita Chiquitita","El Payaso Plim Plim",170,12B,50,2026-04-28,02:09,70,"canción de cuna, música infantil","Las Canciones de Plim Plim Vol. 8",2023-09-08,76,46,0,39,40,30,-8,E Major,4,70ygVDJv1Wou8WGD34K5An,ARLIB2220027
38,"Mi Pollito Amarillito","El Payaso Plim Plim",140,10B,82,2026-04-28,01:42,49,"canción de cuna, música infantil","Las Canciones de Plim Plim Vol. 5",2022-02-04,77,13,0,95,0,70,-6,D Major,4,1NqMGufjcJRzQV7mId2e0f,ARLIB2024010
39,"Un Piojito","El Payaso Plim Plim",95,12A,66,2026-04-28,02:24,62,"canción de cuna, música infantil","Las Canciones de Plim Plim Vol. 7",2023-05-12,86,21,0,49,0,20,-5,C♯/D♭ Minor,4,1Gyl5cLhJ2q2q8tK37Ejvp,ARLIB2220060
40,"Levitando","Technicolor Fabrics",80,3B,77,2026-04-28,03:04,45,"indie mexicano, indie latino, música alternativa latina","Presente",2019-05-31,62,7,1,81,0,20,-8,C♯/D♭ Major,4,6MFn6NmBtglzxLirJ2vXsR,MXB231900006
41,"Hormiguita - Fui al Mercado","Luli Pampín",124,3B,87,2026-04-28,02:45,51,"canción de cuna, música infantil, villancicos","Canciones y Juegos Con Luli Pampín",2019-04-19,82,38,0,92,0,0,-3,C♯/D♭ Major,4,4DWwmFwouiupgQwbcN8n2v,ITZV21900065
42,"Aunque no te pueda ver","Alex Ubago",118,12B,46,2026-04-28,04:26,75,"pop latino","Fantasía o realidad",2003-11-24,59,61,0,21,0,10,-9,E Major,4,2425UlXvkIkAEJAtAd8ROm,ES5010300497
43,"Hay Burbujas en el Aire","Aprende Peque",120,8B,51,2026-04-28,01:19,51,"","Canta con Isa",2023-05-03,84,81,0,85,60,0,-11,C Major,4,4005aQh9oCytHg0uHGHuoZ,QZHN92312622
44,"Oysters In My Pocket","Royel Otis",168,11A,92,2026-04-28,02:42,77,"indie","Oysters In My Pocket",2022-03-10,60,2,80,61,0,10,-5,F#/G♭ Minor,4,2B664ulJSVBd6B8SAY3Wux,GBKPL2284406
45,"A mover y parar","Miss Rosi",146,11B,50,2026-04-28,01:29,45,"canción de cuna, música infantil","Yo canto con Miss Rosi, Vol. 2",2000-01-01,79,86,0,88,10,10,-7,A Major,4,0l1fBB8QaNqlz5dWPV6lOk,USQY51253927
46,"Como Los Animalitos","El Payaso Plim Plim",142,10B,47,2026-04-28,02:49,64,"canción de cuna, música infantil","Las Canciones de Plim Plim Vol. 3",2020-09-19,78,37,0,68,0,10,-7,D Major,4,6GEPowqFAnNGfBYr6GIHWs,ARLIB2020039
47,"Cinco Changuitos Brincando en la Cama","Chiquitines TV",130,5B,78,2026-04-28,02:05,34,"canción de cuna, música infantil","Chiquitinestv, Vol. 4",2017-06-30,85,6,0,97,0,0,-7,D#/E♭ Major,4,4Z1o2mAza5SofwgrwBluYU,ushm21725006
48,"La la la","Mariana Mallol",145,3B,74,2026-04-28,02:27,15,"canción de cuna, música infantil","Casa",2023-10-28,64,67,0,91,0,20,-7,C♯/D♭ Major,4,2gvXkc3nFuL8UvJNGgyMMt,MXUM72200594
49,"Aram Sam Sam","Mariana Mallol",76,10B,38,2026-04-28,01:39,45,"canción de cuna, música infantil","Abrazos, Besos y Apapachos",2015-03-12,53,51,0,83,10,30,-9,D Major,4,4LZKGqSji7zKN7D9gji0Id,MXF430400176
50,"Lose Control","Teddy Swims",160,11B,60,2026-04-28,03:30,89,"","I've Tried Everything But Therapy (Part 1)",2023-09-15,56,20,0,24,0,10,-4,A Major,3,17phhZDn6oGtzMe56NuWvj,USWB12302315
51,"BIRDS OF A FEATHER","Billie Eilish",105,10B,51,2026-04-28,03:30,94,"","HIT ME HARD AND SOFT",2024-05-17,75,20,6,44,0,10,-10,D Major,4,6dOtVTDdiauQNBQEDOtlAB,USUM72401994
52,"Sin Miedo","Mariana Mallol,Edgar Oceransky",123,10B,40,2026-04-28,02:34,20,"canción de cuna, música infantil, trova, nueva trova, cantautores","Agüita De Limón Con Chía",2018-01-05,78,55,0,78,0,10,-9,D Major,4,0csMjiZHkLjzktpBNtTlEe,MXD781701052
53,"Agüita De Limón Con Chía","Mariana Mallol",152,11B,68,2026-04-28,02:08,19,"canción de cuna, música infantil","Agüita De Limón Con Chía",2017-01-05,74,51,0,86,0,0,-5,A Major,4,2EGAPkcstgDoJqekRlYFgK,MXD781701048
54,"RITUAL (palace)","Jon Hopkins,Vylana",133,1B,39,2026-04-28,05:55,40,"idm, ambient, ","RITUAL (palace)",2024-07-09,48,32,95,17,0,0,-16,B Major,4,23glDLdns3JnzpaFdY8eH8,GBCEL2400346
55,"Feels Like Heaven - Uptempo Version","Roger Shah,Sunlounger,Zara Taylor",130,8A,85,2026-04-28,07:41,25,"trance, trance progresivo","The Beach Side Of Life",2010-11-05,55,8,19,45,0,30,-8,A Minor,4,46kts0Kw93ExY7idNow0sJ,NLF711001610
56,"A Dormir","El Payaso Plim Plim",120,8B,8,2026-04-28,04:39,66,"canción de cuna, música infantil","Las Canciones de Plim Plim Vol. 1",2018-10-31,32,91,0,32,0,10,-13,C Major,4,148MY2Cu0rsSJQYWJTblgU,ARLIB1200003
57,"El Marinero Baila","El Payaso Plim Plim",127,8B,63,2026-04-28,02:39,50,"canción de cuna, música infantil","Las Canciones de Plim Plim Vol. 6",2022-06-15,79,6,0,88,0,10,-9,C Major,4,0M0cm62EYwSfd4fIQ0fyLm,ARLIB2120027
58,"Again and Again","Joël Fajerman",170,5A,33,2026-04-28,03:43,32,"jazz house, new age","Inventions of life",1991-00-00,41,91,94,11,0,0,-18,C Minor,4,5gPHMna2AItMTm0lMgZx8d,FR6V89100725
59,"Oh Qué Será?","Willie Colón",87,8A,79,2026-04-28,05:04,80,"salsa, merengue, son cubano","Greatest Hits",2008-02-26,45,69,0,46,10,0,-5,A Minor,4,2n1MTLCis6qPSDKdr5XSDI,USDBB0610539
60,"El Lorito Pepe","El Reino Infantil,La Granja de Zenón,Duo Tiempo de Sol",139,6B,65,2026-04-28,02:03,61,"canción de cuna, música infantil","La Granja de Zenón Vol. 3",2016-11-17,84,37,0,78,0,10,-5,A#/B♭ Major,4,2Z3nhqUc5O74GRtwX7FNXI,ARF061501105
61,"Oxygène, Pt. 2","Jean-Michel Jarre",174,7A,83,2026-04-28,07:46,54,"new age, electrónica, space music","Oxygène",1976-12-05,40,22,61,35,0,10,-8,D Minor,3,7vLKG4ww0P8seUUsbgpcz3,FR45F1100060
62,"Hola Hola","Mariana Mallol",129,8B,65,2026-04-28,01:48,0,"canción de cuna, música infantil","Besos, Abrazos y Apapachos",2015-03-12,77,31,0,92,0,40,-7,C Major,4,0X8J1a89QbgBe81PxoYV3b,MXF430400172
63,"Que llueva, que llueva","Cleo y Cuquín - Familia Telerín",130,6B,43,2026-04-28,01:17,37,"canción de cuna, música infantil","Canciones infantiles, Vol. 1",2022-09-09,77,56,0,90,0,10,-11,A#/B♭ Major,4,1vhpseWhx3uGX1imQjQwXr,GBRKQ2271100
64,"Mi Angel Bebé (Canción de Cuna)","Nana Linda",140,8B,19,2026-04-28,03:50,0,"","Mi Angel Bebé (Canción de Cuna)",2024-03-15,44,80,0,44,0,10,-10,C Major,4,6aAqhhlChICt8k5mC7WLtD,QZHN62459313
65,"Mr. Golden Sun","Super Simple Songs",122,8B,34,2026-04-28,02:13,57,"música infantil, canción de cuna","Baby Shark & More Kids Songs",2017-03-24,78,4,0,65,0,0,-10,C Major,4,383D4yT1kW9tp5ibqVSMAH,TCADE1784683
