#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
90,"Horizon Sunrise Drive","Guido Negraszus",108,8A,55,2026-04-28,03:24,0,"new age","Dreaming",2018-08-29,65,81,95,40,0,10,-20,A Minor,4,2os1JPQTjJMgXf1J8n3PKr,USA2P1859606
91,"Childhood Dream","Wojciech Golczewski",146,7B,38,2026-04-28,04:09,42,"synthwave, space music","The Signal",2017-04-02,35,70,95,4,0,10,-12,F Major,4,0hjlsV7bnM7HLPuIoaMfkm,FR9W11704170
92,"Mi Sombra En la Pared","Miguel Mateos - Zas",175,8A,97,2026-04-28,04:50,54,"rock en español, rock latino, rock argentino","Solos en América",1986-09-01,55,33,17,79,0,0,-7,A Minor,4,096vJncZZrwi4lLUoggD9y,ARXP71600068
93,"Dream of Kamala - Bolla & Love Supreme Tubby Mix","Mystic Diversions,Tony Bungaro,Bruno Bolla,Love Supreme",83,3B,64,2026-04-28,04:54,2,"lounge, ","Dream of Kamala (Bolla & Love Supreme Tubby Mix)",2023-02-10,61,0,28,43,0,10,-9,C♯/D♭ Major,4,30mbpZ8z6hDoJiLUcHKuG2,IT00D0401202
94,"Come With Me - Radio Edit","Nora En Pure",120,11A,78,2026-04-28,02:53,41,"deep house, house melódico, house progresivo, house","Come With Me",2013-00-00,68,0,59,25,0,20,-7,F#/G♭ Minor,4,0Crfi4jUjxb5he8mJ8G6EO,CH3131311287
95,"Breathe - CamelPhat Just Chill Mix","CamelPhat,Cristoph,Jem Cooke",98,8A,76,2026-04-28,04:31,38,"techno melódico, house, house progresivo, house melódico, tech house, ","Breathe (CamelPhat Just Chill Mix)",2019-03-01,53,7,5,33,0,0,-7,A Minor,4,6omsLkEQDeDHtILgj3Vkmn,GBCEN1900008
96,"Serenade for Strings in E Major, Op. 22, B. 52: II. Tempo di valse","Antonín Dvořák,Prague Chamber Orchestra,Petr Skvor",0,11B,8,2026-04-28,07:12,63,"clásica, música de cámara, orquestal","Dvořák: Serenade for Strings, Czech Suite",1991-01-01,0,76,89,0,0,20,-19,A Major,0,3sAYxq1986j3ydqLv6jwUJ,CZA167702329
97,"I Love You","Chris Wonderful",80,3B,56,2026-04-28,07:55,41,"new age","Music for Lovers, Vol. 1",2012-00-00,53,65,86,7,0,30,-10,C♯/D♭ Major,4,58okEVqhlZS33sItNcz1Rk,FRX872185346
98,"Wish You Were Here (feat. Msaki)","Black Coffee,Msaki",120,8B,46,2026-04-28,04:32,48,"afro house, afro tech, house, afro soul, amapiano, private school amapiano, 3 step, afropop, gqom","Wish You Were Here (feat. Msaki)",2018-12-07,63,56,0,16,0,0,-12,C Major,4,6tfXgZjluaSYht2GwnEw21,ZAI911800333
99,"Sex","Marc C. Griso",90,7A,39,2026-04-28,04:13,26,"","Sex",2016-04-22,54,1,72,4,0,20,-16,D Minor,4,4GdhZfZsOiMtuI8BHUqGDS,ES5770606406
100,"Kesaillan idylli (Summer Night's Idyll), Op. 16, No. 2: Kesaillan idylli [Summer Night's Idyll] , Op. 16, No. 2 [arr. J. Panula]","Oskar Merikanto,Camerata Finlandia,Jorma Panula",97,7B,1,2026-04-28,01:18,0,"","Early One Morning",2010-04-01,17,90,84,6,0,10,-34,F Major,4,2Y9DRm38cPNvXQn1sJ8Tnw,HKI190773513
101,"Vienna","Future Proof",159,7B,74,2026-04-28,04:41,0,"","Café Del 30 Anniversary",2010-04-19,57,5,23,51,0,10,-8,F Major,4,5DYJJuoRVnYPTEgh0ua9kb,ES27C1030104
102,"Miles at Cala Jondal","Chris Le Blanc",110,9B,77,2026-04-28,04:25,26,"lounge","Stranded",2016-10-07,64,0,76,5,0,40,-10,G Major,4,1iggAoYM1EC80GJyso0YyU,DEMQ11602508
103,"Sea of Blue","Cantoma",105,7A,50,2026-04-28,04:19,44,"lounge","Just Landed",2016-05-27,66,19,94,44,0,0,-13,D Minor,4,4LLZGFzd9YF3J9Y2UFsbKd,UK8SW7000009
104,"Femme fatale","Deeper Sublime,Eriq Johnson",176,3A,53,2026-04-28,05:36,28,"lounge","Ibiza Balearic Session Vol. 1",2009-08-25,55,11,27,26,0,10,-8,A#/B♭ Minor,4,2iDq8HQ60SuLC1W7evbKaS,DEH740801669
105,"Shadows and Voices - Tom Tom Mix","Djibooti",170,8A,73,2026-04-28,08:13,9,"","Congano Records Presents African Chill",2010-04-16,56,27,84,50,0,10,-10,A Minor,4,7BCCGlHPY82A1vzpPDTtuW,DEH330902297
